,artist_name,track_name,song_no
5281,Dire Straits,The Man's Too Strong,5428
5283,Jeff Buckley,Mojo Pin,5430
5290,Fleetwood Mac,Oh Daddy,5437
5296,Kendrick Lamar,For Free? (interlude),5443
5297,London Grammar,Strong,5445
5303,The Mars Volta,Take the Veil Cerpin Taxt,5451
5305,At the Drive-In,Enfilade,5453
5308,Nine Inch Nails,Somewhat Damaged,5456
5315,System of a Down,Toxicity,5463
5316,System of a Down,Chop Suey!,5464
5326,Swedish House Mafia,Don't You Worry Child (Radio Edit) [feat. John Martin],5474
5336,Nick Cave & The Bad Seeds,Skeleton Tree,5484
5345,SOHN,Rennen,5493
5347,AC/DC,Highway to Hell,5495
5357,Kiiara,Gold,5505
5361,Nirvana,Lithium,5511
5363,Ram Jam,Black Betty,5523
5364,Rihanna,Don't Stop the Music,5524
5367,Dua Lipa,Be The One,5527
5375,Metallica,"Atlas, Rise!",5535
5378,Radiohead,Burn the Witch,5538
5383,Bloc Party,Banquet,5543
5385,Ed Sheeran,Thinking Out Loud,5545
5386,Elton John,Don't Go Breaking My Heart,5546
5389,The Smiths,Some Girls Are Bigger Than Others,5549
5392,Arcade Fire,Deep Blue,5552
5394,Chris Isaak,Wicked Game,5554
5402,Limp Bizkit,Nookie,5562
5404,Royal Blood,Little Monster,5564
5408,Depeche Mode,No More (This Is the Last Time),5568
5410,Foo Fighters,Sunday Rain,5570
5424,Amy Macdonald,This Is the Life,5584
5426,Edwyn Collins,A Girl Like You,5586
5429,Kings of Leon,Radioactive,5589
5433,Gnarls Barkley,Crazy,5593
5434,Massive Attack,Unfinished Sympathy,5594
5438,Imagine Dragons,Mouth Of The River,5602
5439,Kool & The Gang,Celebration,5603
5441,Robbie Williams,Feel,5605
5445,The Flaming Lips,The Castle,5609
5446,Röyksopp & Robyn,Do It Again,5610
5458,Red Hot Chili Peppers,Purple Stain,5624
5467,AC/DC,Thunderstruck,5633
5469,Kyuss,Gardenia,5635
5488,Mastodon,Black Tongue,5654
5489,Mastodon,Oblivion,5655
5490,Mastodon,Jaguar God,5656
